activity,type,participants,price,link,key,accessibility
Text a friend you haven't talked to in a long time,social,2,0.05,,6081071,0.2
Listen to your favorite album,music,1,0.08,,3136729,0.2
Find a DIY to do,diy,1,0.4,,4981819,0.3
Learn about the Golden Ratio,education,1,0.1,https://en.wikipedia.org/wiki/Golden_ratio,2095681,0.2
Create or update your resume,busywork,1,0,,9364041,0.1
Catch up on world news,recreational,1,0.05,,6596257,0.07
Mow your lawn,busywork,1,0.1,,3590127,0.3
Go to a local thrift shop,recreational,1,0.1,,8503795,0.2
Compliment someone,social,2,0,,9149470,0
Make tie dye shirts,diy,1,0.2,,8092359,0.2
Draft your living will,busywork,1,0,https://www.investopedia.com/terms/l/livingwill.asp,2360432,0.5
Go see a movie in theaters with a few friends,social,4,0.2,,5262759,0.3
Create and follow a savings plan,busywork,1,0,,9366464,0.2
Create a compost pile,diy,1,0,,8631548,0.15
Clean out your garage,busywork,1,0,,7023703,0.1
Create a cookbook with your favorite recipes,cooking,1,0,,1947449,0.05
Watch a classic movie,recreational,1,0.1,,8081693,0.1
Learn how to whistle with your fingers,education,1,0,,2790297,0
Write a song,music,1,0,,5188388,0
Go to a concert with some friends,social,4,0.6,,4558850,0.4
Do yoga,recreational,1,0,,4688012,0.9
Take a nap,relaxation,1,0,,6184514,0
Study a foreign language,education,1,0,,9765530,0.1
Bake a pie with some friends,cooking,3,0.3,,3141592,0.3
Start a garden,recreational,1,0.3,,1934228,0.35
Learn origami,education,1,0.2,,8394738,0.3
Learn a new recipe,cooking,1,0,,6553978,0.05
Pull a harmless prank on one of your friends,social,1,0.1,,1288934,0.2
Find a charity and donate to it,charity,1,0.4,,1488053,0.1
Host a movie marathon with some friends,social,3,0.1,,5914292,0
Shop at support your local farmers market,relaxation,1,0.2,,8979931,0.1
Plant a tree,recreational,1,0.3,,1942393,0.3
Learn GraphQL,education,1,0,https://graphql.org/,2167064,0.8
Clean out your closet and donate the clothes you've outgrown,charity,1,0,,9026787,0.1
Organize your basement,busywork,1,0,,8203595,0.9
Take your dog on a walk,relaxation,1,0,,9318514,0.2
Make a couch fort,recreational,1,0,,2352669,0.08
Start a band,music,4,0.3,,5675880,0.8
Draw and color a Mandala,relaxation,1,0.05,https://en.wikipedia.org/wiki/Mandala,4614092,0.1
Start a blog for something you're passionate about,recreational,1,0.05,,8364626,0.1
Donate blood at a local blood center,charity,1,0,https://www.redcross.org/give-blood,6509779,0.35
Donate to your local food bank,charity,1,0.5,,4150284,0.8
Do something nice for someone you care about,social,1,0,,8321894,0.1
Draw something interesting,recreational,1,0,,8033599,0
Research a topic you're interested in,education,1,0,,3561421,0.9
Wash your car,busywork,1,0.05,,1017771,0.15
Organize your movie collection,busywork,1,0,,6378359,0
Try a food you don't like,recreational,1,0.1,,6693574,0.05
Learn woodworking,diy,1,0.3,,9216391,0.3
Volunteer at your local food bank,charity,1,0,,2055368,0.1
Learn to greet someone in a new language,education,1,0.1,,4704256,0.2
Learn how to use an Arduino,education,1,0.1,https://en.wikipedia.org/wiki/Arduino,8264223,0.7
Resolve a problem you've been putting off,busywork,1,0,,9999999,0
Pot some plants and put them around your house,relaxation,1,0.4,,6613330,0.3
Conquer one of your fears,recreational,1,0.1,,8344539,0.1
Learn Morse code,education,1,0,https://en.wikipedia.org/wiki/Morse_code,3646173,0
Volunteer and help out at a senior center,charity,1,0,,3920096,0.1
Think of a new business idea,recreational,1,0,,6808057,0.05
Play a game of tennis with a friend,social,2,0.1,,1093640,0.4
Make a new friend,social,1,0,,1000000,0
Play basketball with a group of friends,social,5,0,,8683473,0.7
Learn how to beatbox,recreational,1,0,https://en.wikipedia.org/wiki/Beatboxing,8731710,1
Go to a concert with local artists with some friends,social,3,0.4,,2211716,0.3
Learn a new programming language,education,1,0.1,,5881028,0.25
Buy a new house decoration,recreational,1,0.4,,3456114,0.3
Have a football scrimmage with some friends,social,8,0,,1638604,0.2
Go stargazing,relaxation,1,0,,8832605,0.1
Practice coding in your favorite lanaguage,recreational,1,0,,7096020,0.1
Learn Javascript,education,1,0,,3469378,0.9
Prepare a dish from a foreign culture,cooking,1,0.2,,8061754,0.3
Listen to a new music genre,music,1,0,,4708863,0
Make your own LEGO creation,recreational,1,0,,1129748,0.1
Clean out your car,busywork,1,0,,2896176,0.08
Prepare a 72-hour kit,busywork,1,0.5,https://www.ready.gov/kit,4266522,0.5
Take a bubble bath,relaxation,1,0.15,,2581372,0.1
Shred old documents you don't need anymore,busywork,1,0,,2430066,0
Improve your touch typing,busywork,1,0,https://en.wikipedia.org/wiki/Touch_typing,2526437,0.8
Listen to a new podcast,relaxation,1,0.05,,4124860,0.12
Paint the first thing you see,recreational,1,0.25,,1162360,0.2
Write a note of appreciation to someone,social,1,0,,1770521,0
Go on a long drive with no music,relaxation,1,0.1,,4290333,0.2
Learn how to make a website,education,1,0.1,,9924423,0.3
Fix something that's broken in your house,diy,1,0.1,,6925988,0.3
Go to a music festival with some friends,social,4,0.4,,6482790,0.2
Go for a walk,relaxation,1,0,,4286250,0.1
Learn calligraphy,education,1,0.1,,4565537,0.1
Read a formal research paper on an interesting subject,education,1,0,,3352474,0.1
Fill out a basketball bracket,recreational,1,0,,7806284,0.1
Configure two-factor authentication on your accounts,busywork,1,0,https://en.wikipedia.org/wiki/Multi-factor_authentication,1572120,0
Give your pet ten minutes of focused attention,relaxation,1,0,,9937387,0
Go for a run,recreational,1,0,,6852505,0.9
